"","sim_value","kID"
"1",0.984367072582245,2
"2",1,2
"3",1,2
"4",0.986990630626678,2
"5",0.997837781906128,2
"6",1,2
"7",0.969912648200989,2
"8",0.986791968345642,2
"9",0.963092625141144,2
"10",0.984517455101013,2
"11",0.990925133228302,2
"12",0.995704233646393,2
"13",0.989248037338257,2
"14",0.99354362487793,2
"15",0.997823178768158,2
"16",0.982646346092224,2
"17",0.997770190238953,2
"18",0.98681503534317,2
"19",0.951958179473877,2
"20",0.997731566429138,2
"21",0.991208434104919,2
"22",0.993209362030029,2
"23",0.973631203174591,2
"24",0.997786164283752,2
"25",0.982721984386444,2
"26",0.989056825637817,2
"27",1,2
"28",0.984957456588745,2
"29",0.997827291488647,2
"30",0.986608505249023,2
"31",0.997735321521759,2
"32",1,2
"33",0.993309259414673,2
"34",0.993428766727448,2
"35",0.988649785518646,2
"36",0.99322497844696,2
"37",0.982557713985443,2
"38",0.987064599990845,2
"39",0.986103475093842,2
"40",0.986921906471252,2
"41",0.993425011634827,2
"42",1,2
"43",0.982544541358948,2
"44",0.980583369731903,2
"45",0.988950610160828,2
"46",0.98246830701828,2
"47",0.9844069480896,2
"48",1,2
"49",1,2
"50",0.993338823318481,2
"51",0.98881471157074,2
"52",0.995543420314789,2
"53",0.984996140003204,2
"54",0.970679223537445,2
"55",0.988951206207275,2
"56",0.995685935020447,2
"57",0.991261720657349,2
"58",0.995437860488892,2
"59",0.948440909385681,2
"60",0.977808177471161,2
"61",0.991066038608551,2
"62",0.955273151397705,2
"63",0.986821949481964,2
"64",0.975567042827606,2
"65",0.980677425861359,2
"66",0.989349007606506,2
"67",1,2
"68",1,2
"69",0.980382323265076,2
"70",1,2
"71",1,2
"72",0.987159788608551,2
"73",0.995526850223541,2
"74",0.982802152633667,2
"75",0.989020168781281,2
"76",0.993343710899353,2
"77",0.99775493144989,2
"78",0.987302958965302,2
"79",0.989333629608154,2
"80",0.961674749851227,2
"81",0.995712757110596,2
"82",0.989203453063965,2
"83",0.991070985794067,2
"84",0.962264955043793,2
"85",1,2
"86",0.971305251121521,2
"87",0.980478644371033,2
"88",1,2
"89",0.995611369609833,2
"90",0.972300112247467,2
"91",0.988955318927765,2
"92",0.991091668605804,2
"93",0.956379055976868,2
"94",0.982352554798126,2
"95",0.982249796390533,2
"96",0.98714280128479,2
"97",0.977831065654755,2
"98",0.997705161571503,2
"99",0.98049920797348,2
"100",1,2
"101",0.978956699371338,3
"102",0.991083800792694,3
"103",0.989004850387573,3
"104",0.955242514610291,3
"105",0.945228040218353,3
"106",0.963621318340302,3
"107",0.984683513641357,3
"108",0.951577365398407,3
"109",0.964122295379639,3
"110",0.92812305688858,3
"111",0.939855575561523,3
"112",0.968573391437531,3
"113",0.979869782924652,3
"114",0.984923601150513,3
"115",0.975865244865417,3
"116",0.959377408027649,3
"117",0.98892068862915,3
"118",0.989288747310638,3
"119",0.986828804016113,3
"120",0.922175407409668,3
"121",0.995511054992676,3
"122",0.977950751781464,3
"123",0.963809788227081,3
"124",0.973972976207733,3
"125",0.987051248550415,3
"126",0.948854267597198,3
"127",0.958458960056305,3
"128",0.979781925678253,3
"129",0.984958410263062,3
"130",0.951674938201904,3
"131",1,3
"132",0.997840642929077,3
"133",0.96283632516861,3
"134",0.938296437263489,3
"135",0.926832497119904,3
"136",0.997769355773926,3
"137",0.997825622558594,3
"138",0.969483435153961,3
"139",0.98607873916626,3
"140",0.927063524723053,3
"141",0.943204879760742,3
"142",1,3
"143",0.991093158721924,3
"144",0.984193980693817,3
