"","sim_value","kID"
"1",-3.47997812718348,2
"2",8.11881367789309,2
"3",-3.64011928266661,2
"4",-3.60591621783685,2
"5",7.86657167226425,2
"6",8.51915889334759,2
"7",-3.54943880733496,2
"8",8.05277623485856,2
"9",-3.68102591051155,2
"10",-3.41710714788322,2
"11",8.00392222930037,2
"12",-3.76578124396741,2
"13",-3.56874784985218,2
"14",-3.75589442255544,2
"15",8.00444938526489,2
"16",-3.52891778938808,2
"17",-3.81774910738861,2
"18",7.96084383675995,2
"19",8.22038075811661,2
"20",8.05643407248931,2
"21",7.96551471400968,2
"22",8.85635851204388,2
"23",-3.50984149382251,2
"24",8.5746322978441,2
"25",-3.72861248813465,2
"26",-3.50291995261886,2
"27",7.85604870205853,2
"28",-3.55302728005526,2
"29",-3.53766214458279,2
"30",7.93378031868885,2
"31",8.0722865909255,2
"32",7.97374179431072,2
"33",-3.75535464151556,2
"34",-3.57077514191324,2
"35",-3.67660300629651,2
"36",8.16765423035578,2
"37",-3.68039622252742,2
"38",-3.50683300157479,2
"39",8.00876934432713,2
"40",-3.61870558133065,2
"41",7.85274893443438,2
"42",8.00653594771242,2
"43",-3.48803076671129,2
"44",-3.62272016037455,2
"45",-3.63835218157916,2
"46",7.9350733149415,2
"47",-3.60275548181739,2
"48",-3.50340864097694,2
"49",-3.58579363506785,2
"50",-3.63699138072675,2
"51",8.06266563658234,2
"52",7.89354034651955,2
"53",-3.60142973348141,2
"54",-3.65240744451971,2
"55",-3.623253234089,2
"56",-3.62956726757095,2
"57",8.00002280126167,2
"58",-3.55970068078667,2
"59",-3.64945121527042,2
"60",-3.52378685677831,2
"61",7.97365857999575,2
"62",8.4595843955028,2
"63",-3.55781814583265,2
"64",-3.79689938309976,2
"65",8.05464849350883,2
"66",-3.62363391599176,2
"67",8.00287998119196,2
"68",7.86169728828828,2
"69",-3.56673025650574,2
"70",-3.72400308231993,2
"71",-3.59020222919309,2
"72",-3.70002787090431,2
"73",8.43819890848942,2
"74",-3.34483807953784,2
"75",7.99413296532081,2
"76",-3.61241724154526,2
"77",-3.63890731454212,2
"78",7.89250610672497,2
"79",-3.52275975957618,2
"80",8.44914442722205,2
"81",-3.46953398432996,2
"82",-3.56477166821994,2
"83",7.77567497518508,2
"84",-3.52444995502472,2
"85",7.96158464003957,2
"86",-3.4647362120135,2
"87",-3.75645001826441,2
"88",8.05996593878077,2
"89",9.19680111265647,2
"90",8.62167505947048,2
"91",-3.67037823220244,2
"92",-3.66856213664405,2
"93",-3.66741324879964,2
"94",-3.50173018786439,2
"95",-3.63765541740675,2
"96",-3.5971943358343,2
"97",-3.47812344799782,2
"98",7.92283284680797,2
"99",8.3320628627483,2
"100",8.10662496140793,2
"101",-1.75230893616201,3
"102",-2.5165447496763,3
"103",-2.42910520821907,3
"104",-1.73444377353826,3
"105",-1.58930886622955,3
"106",-2.35662871330251,3
"107",-2.39051539311762,3
"108",-1.56367189218192,3
"109",-2.48541530674615,3
"110",-3.50810086562259,3
"111",-2.61217943350327,3
"112",-3.43066468574573,3
"113",-1.59173282063209,3
"114",-1.73381612200128,3
"115",-2.53438114588176,3
"116",-1.73397072050166,3
"117",-2.4831615297556,3
"118",-1.75664660308014,3
"119",-2.40846777733488,3
"120",-2.46611992043979,3
"121",-1.70557547810929,3
"122",-3.55044973199695,3
"123",-1.69406222371314,3
"124",-3.42516581091552,3
"125",-1.74742081520511,3
"126",-1.74641248215206,3
"127",-1.76826444664031,3
"128",-1.75476226925941,3
"129",-1.73367426545899,3
"130",-1.74648018792183,3
"131",-2.40701962612861,3
"132",-2.3856813238093,3
"133",-2.39430775456227,3
"134",-2.48099148457806,3
"135",-2.33193664261907,3
"136",-3.49955856825389,3
"137",-1.75684026541045,3
"138",-1.7328574080978,3
"139",-2.42015254769424,3
"140",-1.73747962207787,3
"141",-1.75525496361444,3
"142",-2.50739351230457,3
"143",-1.59079208900149,3
"144",-2.44296583346545,3
"145",-3.7070931256392,3
"146",-2.46683906746246,3
"147",-1.76247164412297,3
"148",-1.74444223855851,3
"149",-1.57303728610546,3
"150",-2.3685803444744,3
"151",-1.74648856843822,3
"152",-1.57564563948947,3
"153",-2.47484515983808,3
"154",-3.5774674042653,3
"155",-2.46353711907664,3
"156",-1.59659422226058,3
"157",-3.52552067086679,3
"158",-1.75546688585542,3
"159",-2.49975969832446,3
"160",-1.59551780455024,3
"161",-1.57842706618228,3
"162",-2.49500799937548,3
"163",-1.72597598533684,3
"164",-3.6152674903903,3
"165",-1.58451675391702,3
"166",-3.47193322989975,3
"167",-2.42323955380618,3
"168",-2.46428384915853,3
"169",-2.49194404606302,3
"170",-2.51399993838264,3
"171",-1.73589798337657,3
"172",-2.58516619057944,3
"173",-1.56196887174126,3
"174",-2.48697817517592,3
"175",-3.50007685446045,3
"176",-3.58041600022597,3
"177",-3.62803720861177,3
"178",-1.74280716043881,3
"179",-2.37248977149689,3
"180",-1.74212605425851,3
"181",-1.73152557901027,3
"182",-2.52272171666679,3
"183",-1.73870328785112,3
"184",-1.76304184344232,3
"185",-2.5076997488264,3
"186",-2.43960977140161,3
"187",-1.76822801622602,3
"188",-2.48802158571571,3
"189",-2.58277618430562,3
"190",-2.40925345246479,3
"191",-2.41622570253989,3
"192",-1.75552290226722,3
"193",-2.44597581411252,3
"194",-1.74567668086208,3
"195",-2.42970496314741,3
"196",-3.54591564563402,3
"197",-1.73237096513501,3
"198",-1.57801757749005,3
"199",-2.4301541295044,3
"200",-2.50609768273297,3
"201",-1.47380774265944,4
"202",-1.31401269902843,4
"203",-1.48538423955721,4
"204",-1.61891068897631,4
"205",-1.30821557674727,4
"206",-1.40294566016424,4
"207",-1.7087264981596,4
"208",-1.38113449421406,4
"209",-1.27987791088899,4
"210",-1.41871496799296,4
"211",-1.37777119799066,4
"212",-1.43216278936505,4
"213",-1.30891502612645,4
"214",-1.58800397862645,4
"215",-1.99686018218778,4
"216",-1.98354397728942,4
"217",-1.69105195594551,4
"218",-1.42489493386932,4
"219",-1.68121317942649,4
"220",-1.73222408418236,4
"221",-1.31451736293194,4
"222",-1.71189721908442,4
"223",-1.60589077633496,4
"224",-1.32764198933298,4
"225",-1.37015691871924,4
"226",-1.82860509763946,4
"227",-1.80398036978246,4
"228",-1.36139364014554,4
"229",-1.29798931380162,4
"230",-1.46456232795952,4
"231",-2.01292062630672,4
"232",-1.47707421382552,4
"233",-1.38020876785926,4
"234",-1.31333942068037,4
"235",-1.79960918826231,4
"236",-1.37559526022533,4
"237",-1.37377195075454,4
"238",-1.53046036886806,4
"239",-1.32661376855467,4
"240",-1.61644691090181,4
"241",-1.52475386868496,4
"242",-1.60097742438891,4
"243",-1.47613579678879,4
"244",-1.39400899489149,4
"245",-1.58287007312702,4
"246",-1.29871251671422,4
"247",-1.37438314522062,4
"248",-1.37607345345815,4
"249",-1.78016674489949,4
"250",-1.5096556079335,4
"251",-1.62097636317569,4
"252",-1.82430028389987,4
"253",-1.81551932885503,4
"254",-1.60507130167815,4
"255",-1.27849173942829,4
"256",-1.59795087518281,4
"257",-1.60575889053992,4
"258",-1.3745477335685,4
"259",-1.60626409125351,4
"260",-1.52294258174879,4
"261",-1.60749493353686,4
"262",-1.60433287151528,4
"263",-1.28248717013715,4
"264",-1.38266866052579,4
"265",-1.40794884713831,4
"266",-1.51180819444721,4
"267",-1.61480745444284,4
"268",-1.29231307570771,4
"269",-1.30209092439839,4
"270",-1.36169058479259,4
"271",-1.41965896489025,4
"272",-1.3794680929194,4
"273",-1.8179854315313,4
"274",-1.36708102100753,4
"275",-1.70185053405615,4
"276",-1.83511078614117,4
"277",-1.55162217500047,4
"278",-1.29208377373964,4
"279",-1.46309665573204,4
"280",-1.70769332239664,4
"281",-1.57938157718099,4
"282",-1.51856739806439,4
"283",-1.51660517342493,4
"284",-1.59079150321312,4
"285",-1.38228618227185,4
"286",-1.81521670413693,4
"287",-1.39730944204806,4
"288",-1.97907057950822,4
"289",-1.48917093427935,4
"290",-1.96953348118841,4
"291",-1.48816828825591,4
"292",-1.37915055675647,4
"293",-1.46903198947158,4
"294",-1.95569086044924,4
"295",-1.70772757684405,4
"296",-1.45489287367103,4
"297",-1.96703191393249,4
"298",-1.8199978358734,4
"299",-1.30975401773988,4
"300",-1.51009054559283,4
"301",-1.4399784966787,5
"302",-1.22027481203682,5
"303",-1.52889145455492,5
"304",-1.18872394580187,5
"305",-1.45853763035408,5
"306",-1.19794524415418,5
"307",-1.27147714187257,5
"308",-1.26389081198519,5
"309",-1.34360872344279,5
"310",-1.43655653734027,5
"311",-1.26832930501435,5
"312",-1.41628602056702,5
"313",-1.37383842920234,5
"314",-1.31721365307955,5
"315",-1.18209489218372,5
"316",-1.37975673483303,5
"317",-1.3217085140687,5
"318",-1.37732495584956,5
"319",-1.43388044747884,5
"320",-1.24123399598765,5
"321",-1.2696886478966,5
"322",-1.3823667690022,5
"323",-1.20692304834488,5
"324",-1.18095299316639,5
"325",-1.26389640008211,5
"326",-1.30220655257937,5
"327",-1.18884785423395,5
"328",-1.33770609457338,5
"329",-1.18299889675975,5
"330",-1.1822131126821,5
"331",-1.33831799183345,5
"332",-1.39788755297744,5
"333",-1.34726882824234,5
"334",-1.29221486022521,5
"335",-1.18068928521021,5
"336",-1.35896196517957,5
"337",-1.24337602123735,5
"338",-1.23476959653742,5
"339",-1.30499246409801,5
"340",-1.19799717581279,5
"341",-1.28918830222635,5
"342",-1.24469120192014,5
"343",-1.32058031952127,5
"344",-1.26616735143131,5
"345",-1.36625695226118,5
"346",-1.19946441881661,5
"347",-1.29777388177975,5
"348",-1.19617272415347,5
"349",-1.22931456367942,5
"350",-1.47725645787939,5
"351",-1.42481508106565,5
"352",-1.51851967701251,5
"353",-1.29524203313114,5
"354",-1.43671906721648,5
"355",-1.19554336265543,5
"356",-1.196398216707,5
"357",-1.33945240533991,5
"358",-1.43609390102983,5
"359",-1.2425635953315,5
"360",-1.28503890331849,5
"361",-1.33957922393077,5
"362",-1.30813103364241,5
"363",-1.24360976538136,5
"364",-1.54634574268839,5
"365",-1.18564476458582,5
"366",-1.22396309675922,5
"367",-1.23898516739904,5
"368",-1.38138589480178,5
