"","k2","k3","k4","k5","k6","k7","k8","k9","k10"
"68",0.7503,0.9437,0.8065,0.9286,0.878,0.8743,0.8688,0.8796,0.8608
"69",0.7149,0.9403,0.9253,0.8434,0.8508,0.8486,0.8631,0.8769,0.8547
"70",0.9055,0.969,0.8837,0.8293,0.9216,0.8432,0.8446,0.8547,0.8881
"71",0.7118,0.9482,0.7928,0.9047,0.9415,0.8671,0.8671,0.8716,0.8855
"72",0.5274,0.9671,0.824,0.8291,0.8122,0.8423,0.8531,0.8853,0.878
"73",0.7186,0.9266,0.9387,0.8393,0.8294,0.8903,0.8614,0.866,0.884
"74",0.7468,0.9366,0.8555,0.8152,0.8211,0.8313,0.8815,0.8635,0.8948
"75",0.8169,0.9545,0.8817,0.9277,0.8523,0.8637,0.8839,0.8955,0.8779
"76",0.936,0.9669,0.784,0.8612,0.8615,0.8548,0.9021,0.8703,0.8677
"77",0.9367,0.9349,0.9053,0.93,0.8954,0.8771,0.8766,0.9027,0.8936
"78",0.7176,0.9592,0.938,0.817,0.9069,0.8192,0.8519,0.8972,0.881
"79",0.7054,0.9745,0.8064,0.8167,0.9231,0.8419,0.8628,0.8824,0.8857
"80",0.9377,0.9487,0.9512,0.8365,0.8754,0.8547,0.8448,0.8701,0.8879
"81",0.7585,0.7054,0.9374,0.8157,0.8553,0.8475,0.8564,0.8716,0.9022
"82",0.7376,0.966,0.9448,0.8955,0.8787,0.8448,0.8512,0.8845,0.8833
"83",0.7359,0.9447,0.871,0.9229,0.9478,0.8536,0.8648,0.8609,0.8868
"84",0.8264,0.9597,0.8338,0.8004,0.8673,0.8749,0.8557,0.8875,0.8835
"85",0.5005,0.9489,0.9003,0.8276,0.8435,0.8402,0.865,0.872,0.8689
"86",0.948,0.9513,0.8685,0.8441,0.838,0.8154,0.8786,0.8495,0.9106
"87",0.5001,0.9328,0.9067,0.8242,0.86,0.8521,0.8678,0.8661,0.8894
"88",0.5402,0.9783,0.828,0.8845,0.9061,0.8841,0.8726,0.8831,0.9011
"89",0.7468,0.9664,0.9216,0.9264,0.8403,0.89,0.8661,0.8862,0.8748
"90",0.5426,0.9796,0.8844,0.8888,0.803,0.833,0.8796,0.8851,0.8731
"91",0.9552,0.978,0.9255,0.9178,0.8717,0.8489,0.8821,0.8828,0.8794
"92",0.7599,0.949,0.956,0.8696,0.8229,0.8633,0.903,0.861,0.8737
"93",0.6838,0.9662,0.9281,0.9402,0.8715,0.8769,0.8779,0.8829,0.8881
"94",0.7131,0.9649,0.9035,0.9276,0.8824,0.8724,0.864,0.9223,0.8864
"95",0.8116,0.9655,0.8038,0.8552,0.8196,0.8255,0.8547,0.9095,0.8753
"96",0.9618,0.9529,0.9092,0.8782,0.8806,0.8513,0.8703,0.8774,0.8992
"97",0.7588,0.958,0.7989,0.95,0.887,0.859,0.8779,0.8817,0.8818
"98",0.9816,0.9665,0.8941,0.8472,0.8647,0.8476,0.8414,0.8852,0.893
"99",0.9481,0.949,0.8505,0.888,0.8236,0.8672,0.9173,0.8681,0.9099
"100",0.8739,0.9404,0.9104,0.9278,0.8408,0.8435,0.8864,0.8574,0.8643
